Q3,Latitude,Longitude
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.89028529999999
Pakistan,30.3308401,71.247499
Mexico,22.5000485,-100.000037
Russia,64.6863136,97.7453061
Turkey,38.959759399999996,34.9249653
Australia,-24.7761086,134.755
Nigeria,9.6000359,7.999972099999999
Greece,38.995368299999996,21.987713199999998
Belgium,50.6402809,4.666714499999999
Japan,36.5748441,139.2394179
Egypt,26.254049300000002,29.2675469
Singapore,1.357107,103.81949920000001
Brazil,-10.333333300000001,-53.2
Poland,52.215933,19.134422
China,35.000074,104.999927
"Iran, Islamic Republic of...",32.6475314,54.56435160000001
United States of America,39.7837304,-100.445882
Italy,42.6384261,12.674297
Viet Nam,13.2904027,108.42651129999999
Israel,31.531311300000002,34.8667654
Peru,-6.8699697,-75.0458515
South Africa,-28.816623600000003,24.991639000000003
Other,18.456937600000003,-77.78187353688594
Spain,39.3260685,-4.8379791
Bangladesh,23.506953,89.97524343389128
United Kingdom of Great Britain and Northern Ireland,54.702354500000006,-3.2765752999999997
France,46.603353999999996,1.8883334999999999
Switzerland,46.7985624,8.231973599999998
Algeria,28.000027199999998,2.9999825
Tunisia,33.8439408,9.400138
Argentina,-34.9964963,-64.9672817
Sweden,59.67497120000001,14.5208584
Colombia,4.099917,-72.90881329999999
I do not wish to disclose my location,,
Canada,61.0666922,-107.991707
Chile,-31.7613365,-71.3187697
Netherlands,52.500169799999995,5.7480820999999995
Ukraine,49.4871968,31.2718321
Saudi Arabia,25.624261800000003,42.352832799999995
Romania,45.98521289999999,24.6859225
Morocco,31.1728205,-7.3362482
Austria,47.2,13.2
Taiwan,23.973937399999997,120.9820179
Kenya,1.4419683,38.431397499999996
Belarus,53.4250605,27.6971358
Ireland,52.865196,-7.9794599
Portugal,40.0332629,-7.889626299999999
Hong Kong (S.A.R.),,
Denmark,55.670249,10.333328300000002
Germany,51.0834196,10.4234469
South Korea,36.638391999999996,127.69611880000001
Philippines,12.750348599999999,122.7312101
Sri Lanka,7.555494199999999,80.7137847
United Arab Emirates,24.0002488,53.999482900000004
Uganda,1.5333553999999998,32.2166578
Ghana,8.0300284,-1.0800271000000001
Malaysia,4.5693754,102.2656823
Thailand,14.8971921,100.83273
Nepal,28.108392900000002,84.0917139
Kazakhstan,47.2286086,65.20931970000001
Ethiopia,10.211670199999999,38.6521203
Iraq,33.0955793,44.174977500000004
Ecuador,-1.3397668,-79.3666965
Norway,60.5000209,9.099971499999999
Czech Republic,49.816700299999994,15.4749544
